,id,name,timezone,label,lat,lon,insee,region,label_region,id_region,zip_code
15,stop_area:SNCF:87691469,Vauzelles,Europe/Paris,Vauzelles (Varennes-Vauzelles),47.001314,3.13488,58303,Varennes-Vauzelles,Varennes-Vauzelles (58640),admin:fr:58303,58640
16,stop_area:SNCF:87594739,Vayrac,Europe/Paris,Vayrac (Vayrac),44.950301,1.70635,46330,Vayrac,Vayrac (46110),admin:fr:46330,46110
17,stop_area:SNCF:87584714,Vayres,Europe/Paris,Vayres (Vayres),44.897326,-0.317169,33539,Vayres,Vayres (33870),admin:fr:33539,33870
18,stop_area:SNCF:87726208,Veauche - Saint-Galmier,Europe/Paris,Veauche - Saint-Galmier (Veauche),45.565928,4.293438,42323,Veauche,Veauche (42340),admin:fr:42323,42340
19,stop_area:SNCF:87611566,Vèbre - La Remise,Europe/Paris,Vèbre - La Remise (Vèbre),42.773927,1.719881,09326,Vèbre,Vèbre (09310),admin:fr:09326,09310
20,stop_area:SNCF:87144469,Vecoux Eglise,Europe/Paris,Vecoux Eglise (Vecoux),47.978689,6.636391,88498,Vecoux,Vecoux (88200),admin:fr:88498,88200
21,stop_area:SNCF:87338178,Vecqueville,Europe/Paris,Vecqueville (Vecqueville),48.457357,5.143001,52512,Vecqueville,Vecqueville (52300),admin:fr:52512,52300
22,stop_area:SNCF:87571414,Veigné,Europe/Paris,Veigné (Veigné),47.291227,0.73488,37266,Veigné,Veigné (37250),admin:fr:37266,37250
23,stop_area:SNCF:87712331,Velars,Europe/Paris,Velars (Velars-sur-Ouche),47.32652,4.92746,21661,Velars-sur-Ouche,Velars-sur-Ouche (21370),admin:fr:21661,21370
24,stop_area:SNCF:87584177,Vélines,Europe/Paris,Vélines (Vélines),44.852029,0.10351,24568,Vélines,Vélines (24230),admin:fr:24568,24230
0,stop_area:SNCF:87334177,Velluire,Europe/Paris,Velluire (Les Velluire-sur-Vendée),46.403883,-0.895557,85177,Les Velluire-sur-Vendée,Les Velluire-sur-Vendée (85770),admin:fr:85177,85770
1,stop_area:SNCF:87212118,Vendenheim,Europe/Paris,Vendenheim (Vendenheim),48.665922,7.717777,67506,Vendenheim,Vendenheim (67550),admin:fr:67506,67550
